ERROR @ 2011-11-11 20:24:35,684 [main] (DescriptionScanner.java:96) - Error : Index directory is missing!
 INFO @ 2011-11-15 17:04:02,528 [main] (IndexScanner.java:45) - 69 OK
 INFO @ 2011-11-15 17:04:02,528 [main] (IndexScanner.java:45) - 70 OK
 INFO @ 2011-11-15 17:04:02,528 [main] (IndexScanner.java:45) - 71 OK
 INFO @ 2011-11-15 17:04:02,528 [main] (IndexScanner.java:45) - 72 OK
 INFO @ 2011-11-15 17:04:02,529 [main] (IndexScanner.java:45) - 73 OK
 INFO @ 2011-11-15 17:04:02,529 [main] (IndexScanner.java:45) - 74 OK
 INFO @ 2011-11-15 17:04:02,529 [main] (IndexScanner.java:45) - 75 OK
 INFO @ 2011-11-15 17:04:02,529 [main] (IndexScanner.java:45) - 76 OK
 INFO @ 2011-11-15 17:04:02,530 [main] (IndexScanner.java:45) - 77 OK
 INFO @ 2011-11-15 17:04:02,530 [main] (IndexScanner.java:45) - 78 OK
 INFO @ 2011-11-15 17:04:02,530 [main] (IndexScanner.java:45) - 79 OK
 INFO @ 2011-11-15 17:04:02,531 [main] (IndexScanner.java:45) - 80 OK
 INFO @ 2011-11-15 17:04:02,531 [main] (IndexScanner.java:45) - 81 OK
 INFO @ 2011-11-15 17:04:02,531 [main] (IndexScanner.java:45) - 82 OK
 INFO @ 2011-11-15 17:04:02,532 [main] (IndexScanner.java:45) - 83 OK
 INFO @ 2011-11-15 17:04:02,532 [main] (IndexScanner.java:45) - 84 OK
 INFO @ 2011-11-15 17:04:02,532 [main] (IndexScanner.java:45) - 85 OK
 INFO @ 2011-11-15 17:04:02,532 [main] (IndexScanner.java:45) - 86 OK
 INFO @ 2011-11-15 17:04:02,532 [main] (IndexScanner.java:45) - 87 OK
 INFO @ 2011-11-15 17:04:02,533 [main] (IndexScanner.java:45) - 88 OK
 INFO @ 2011-11-15 17:04:02,533 [main] (IndexScanner.java:45) - 89 OK
 INFO @ 2011-11-15 17:04:02,533 [main] (IndexScanner.java:45) - 90 OK
 INFO @ 2011-11-15 17:04:02,533 [main] (IndexScanner.java:45) - 91 OK
 INFO @ 2011-11-15 17:04:02,534 [main] (IndexScanner.java:45) - 92 OK
 INFO @ 2011-11-15 17:04:02,534 [main] (IndexScanner.java:45) - 93 OK
 INFO @ 2011-11-15 17:04:02,534 [main] (IndexScanner.java:45) - 94 OK
 INFO @ 2011-11-15 17:04:02,534 [main] (IndexScanner.java:45) - 95 OK
 INFO @ 2011-11-15 17:04:02,535 [main] (IndexScanner.java:45) - 96 OK
 INFO @ 2011-11-15 17:04:02,535 [main] (IndexScanner.java:45) - 97 OK
 INFO @ 2011-11-15 17:04:02,535 [main] (IndexScanner.java:45) - 98 OK
 INFO @ 2011-11-15 17:04:02,535 [main] (IndexScanner.java:45) - 99 OK
 INFO @ 2011-11-15 17:04:02,535 [main] (IndexScanner.java:45) - 100 OK
 INFO @ 2011-11-15 17:04:02,536 [main] (IndexScanner.java:45) - 101 OK
 INFO @ 2011-11-15 17:04:02,536 [main] (IndexScanner.java:45) - 102 OK
 INFO @ 2011-11-15 17:04:02,536 [main] (IndexScanner.java:45) - 103 OK
 INFO @ 2011-11-15 17:04:02,536 [main] (IndexScanner.java:45) - 104 OK
